meja hijau
tanggung jawab
tidak adil
beri tahu
sama rata
tidak sabar
ambil alih
sebar luas
ikut serta
darma bakti
merah padam
lipat ganda
naik turun
anak tiri
ratap tangis
garis bawah
hitam legam
awet muda
babak belur
tanda tangan
hancur lebur
kaki tangan
besar kepala
tidak tahu
tidak suka
tidak sopan
salah paham
campur aduk
kembang biak
warga negara
salah guna
bumi hangus
peti es
surat kabar
tidak percaya
putar balik
jual beli
kambing hitam
campur baur
tenaga kerja
kurang ajar
luluh lantak
anak emas
bebas tugas
daya guna
kereta api
orang tua
serta merta
kacau balau
ingin tahu
tidak efisien
tidak mampu
tidak normal
adu domba
adu untung
tidak seimbang
jungkir balik
tidak acuh
tidak hadir
tidak bahagia
setia kawan
terima kasih
tidak sama
cocok tanam
salah arti
tindak lanjut
putus asa
terus terang
tidak jelas
cerai berai
tipu daya
tidak benar
tidak becus
tidak waras
tulus ikhlas
